2026-08-01T20:29:33+00:00,Wickless-candle production defaults at 12250ed.,baseline,worst_fold_net_r=-2.064939;total_net_r=11.613768;overall_profit_factor=2.883638;negative_overall_drawdown_r=-2.141029;total_trades=15,KEPT
2026-08-05T12:25:24+00:00,Immutable Wickless production defaults with the London-New York session union at 9ddd1b44.,baseline,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,KEPT
2026-08-05T12:28:14+00:00,Controlled test of minimum_body_ratio=0.82 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:19+00:00,Controlled test of minimum_body_ratio=0.81 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:23+00:00,Controlled test of minimum_body_ratio=0.79 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:28+00:00,Controlled test of minimum_body_ratio=0.78 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:32+00:00,Controlled test of minimum_body_ratio=0.84 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:37+00:00,Controlled test of minimum_body_ratio=0.76 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:41+00:00,Controlled test of minimum_range_atr=0.52 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:46+00:00,Controlled test of minimum_range_atr=0.48 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:50+00:00,Controlled test of minimum_range_atr=0.54 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:55+00:00,Controlled test of minimum_range_atr=0.46 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:28:59+00:00,Controlled test of minimum_range_atr=0.56 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T12:29:03+00:00,Controlled test of minimum_range_atr=0.44 against production defaults.,candle-quality,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,DISCARDED
2026-08-05T13:30:35+00:00,Immutable Wickless production defaults with the London-New York session union at 9ddd1b44.,baseline,worst_fold_net_r=-3.086917;total_net_r=7.498076;overall_profit_factor=1.7292928;negative_overall_drawdown_r=-5.222238;total_trades=19,KEPT
